starttime,speed,volume
"1/1/2000 12:00 am",,
"2/1/2000 12:00 am",,
"3/1/2000 12:00 am",,
"4/1/2000 12:00 am",,
"5/1/2000 12:00 am",,
"6/1/2000 12:00 am",,
"7/1/2000 12:00 am",,
"8/1/2000 12:00 am",,
"9/1/2000 12:00 am",,
"10/1/2000 12:00 am",,
"11/1/2000 12:00 am",,
"12/1/2000 12:00 am",,
"1/1/2001 12:00 am",,
"2/1/2001 12:00 am",,
"3/1/2001 12:00 am",,
"4/1/2001 12:00 am",,
"5/1/2001 12:00 am",,
"6/1/2001 12:00 am",,
"7/1/2001 12:00 am",,
"8/1/2001 12:00 am",,
"9/1/2001 12:00 am",,
"10/1/2001 12:00 am",,
"11/1/2001 12:00 am",,
"12/1/2001 12:00 am",,
"1/1/2002 12:00 am",,
"2/1/2002 12:00 am",,
"3/1/2002 12:00 am",,
"4/1/2002 12:00 am",,
"5/1/2002 12:00 am",,
"6/1/2002 12:00 am",,
"7/1/2002 12:00 am",,
"8/1/2002 12:00 am",,
"9/1/2002 12:00 am",,
"10/1/2002 12:00 am",,
"11/1/2002 12:00 am",,
"12/1/2002 12:00 am",,
"1/1/2003 12:00 am",,
"2/1/2003 12:00 am",,
"3/1/2003 12:00 am",,
"4/1/2003 12:00 am",,
"5/1/2003 12:00 am",,
"6/1/2003 12:00 am",,
"7/1/2003 12:00 am",,
"8/1/2003 12:00 am",,
"9/1/2003 12:00 am",,
"10/1/2003 12:00 am",,
"11/1/2003 12:00 am",,
"12/1/2003 12:00 am",,
"1/1/2004 12:00 am",,
"2/1/2004 12:00 am",,
"3/1/2004 12:00 am",,
"4/1/2004 12:00 am",,
"5/1/2004 12:00 am",,
"6/1/2004 12:00 am",,
"7/1/2004 12:00 am",,
"8/1/2004 12:00 am",,
"9/1/2004 12:00 am",,
"10/1/2004 12:00 am",,
"11/1/2004 12:00 am",,
"12/1/2004 12:00 am",62.31,0
"1/1/2005 12:00 am",58.26,872
"2/1/2005 12:00 am",57.62,638
"3/1/2005 12:00 am",59.30,970
"4/1/2005 12:00 am",59.83,918
"5/1/2005 12:00 am",59.62,659
"6/1/2005 12:00 am",58.31,893
