Fiscal Year,Total Live Intake,Adopt
1981,4224,
1982,4963,
1983,5086,212
1984,1013,224
1985,3811,195
1986,4012,200
1987,3999,252
1988,3992,238
1989,3994,266
1990,5000,311
1991,4197,323
1992,4044,332
1993,3730,432
1994,4062,657
1995,4040,798
1996,4523,938
1997,4677,990
1998,3900,795
1999,3530,99
2000,3064,966
2001,3184,1019
2002,3339,1084
2003,4238,1290
2004,4593,1188
2005,5175,1143
2006,5208,956
2007,5567,1012
2008,5461,1062
2009,5063,837
2010,5302,72
2011,5210,732
2012,4324,711
2013,3684,623
2014,3954,961
2015,3665,1350
2016,3442,1232
2017,3237,1339
